duration,train_mse,val_mse
177,43.42,63.3941
171,13.55,18.3063
170,6.7176,12.8605
171,4.4781,8.7886
170,3.0719,11.6395
171,2.5033,10.7007
170,1.7184,12.4381
171,1.3073,10.3142
170,0.9940,10.4287
171,0.7007,6.0515
170,0.6547,8.9840
171,0.5305,8.1981
170,0.4642,7.6955
171,0.3630,7.8763
170,0.3712,9.4694
172,0.3106,10.1791
170,0.2835,10.0843
172,0.2506,9.3618
171,0.2110,7.9790
172,0.2191,7.2003
170,0.1842,8.4654
172,0.1760,8.1824
170,0.1962,9.2722
172,0.1887,7.6391
170,0.1470,7.5627
172,0.1259,7.8696
170,0.1346,7.8462
172,0.1216,7.2974
170,0.1196,7.6988
172,0.1256,7.8780
170,0.1517,7.8046
172,0.1185,8.3787
170,0.1016,8.0928
172,0.1091,7.6764
170,0.1026,8.0019
172,0.1034,7.9024
170,0.1084,7.9215
172,0.1012,7.6523
170,0.0933,7.6168
172,0.0922,7.1241
170,0.0883,7.6944
171,0.0811,7.6246
170,0.0828,9.3127
171,0.0792,8.1821
170,0.0743,7.2510
